symbol,marketcap,exchange,exchangeName
AMPY,234189233,XNYS,New York Stock Exchange Inc
AMR,5786920238,XNYS,New York Stock Exchange Inc
AMRC,758465901,XNYS,New York Stock Exchange Inc
AMRK,598103312,XNAS,Nasdaq All Markets
AMRN,116586339,XNAS,Nasdaq All Markets
AMRX,1718180235,XNAS,Nasdaq All Markets
AMSC,388507426,XNAS,Nasdaq All Markets
AMSF,959854720,XNAS,Nasdaq All Markets
AMST,6305251,XNAS,Nasdaq All Markets
AMSWA,354823147,XNAS,Nasdaq All Markets
AMT,86841405000,XNYS,New York Stock Exchange Inc
AMTB,740538397,XNYS,New York Stock Exchange Inc
AMTD,70408625,XNYS,New York Stock Exchange Inc
AMTX,136889212,XNAS,Nasdaq All Markets
AMWD,1497149846,XNAS,Nasdaq All Markets
AMWL,280085612,XNYS,New York Stock Exchange Inc
AMX,52649888500,XNYS,New York Stock Exchange Inc
AMZD,2679265,XNAS,Nasdaq All Markets
AMZN,1.76793E+12,XNAS,Nasdaq All Markets
AMZU,78594282,XNAS,Nasdaq All Markets
AN,6423142047,XNYS,New York Stock Exchange Inc
ANAB,601927782,XNAS,Nasdaq All Markets
ANDE,1770309236,XNAS,Nasdaq All Markets
ANEB,63057714,XNAS,Nasdaq All Markets
ANET,83841488269,XNYS,New York Stock Exchange Inc
ANF,5758830432,XNYS,New York Stock Exchange Inc
ANGH,25667580,XNAS,Nasdaq All Markets
ANGHW,25667581,XNAS,Nasdaq All Markets
ANGI,204752080,XNAS,Nasdaq All Markets
ANGL,3053355000,XNAS,Nasdaq All Markets
ANGO,238732594,XNAS,Nasdaq All Markets
ANIK,346842589,XNAS,Nasdaq All Markets
ANIP,1157784392,XNAS,Nasdaq All Markets
ANIX,139531713,XNAS,Nasdaq All Markets
ANL,257392344,XNAS,Nasdaq All Markets
ANNX,272317408,XNAS,Nasdaq All Markets
ANRO,0,XNYS,New York Stock Exchange Inc
ANSC,349830000,XNAS,Nasdaq All Markets
ANSCU,349829998,XNAS,Nasdaq All Markets
ANSS,28840033140,XNAS,Nasdaq All Markets
ANTE,3374741,XNAS,Nasdaq All Markets
ANTX,128483042,XNAS,Nasdaq All Markets
ANVS,109343608,XNYS,New York Stock Exchange Inc
ANY,32586613,XNAS,Nasdaq All Markets
AOD,848192379,XNYS,New York Stock Exchange Inc
AOGO,19078077,XNAS,Nasdaq All Markets
AOGOU,19078083,XNAS,Nasdaq All Markets
AOMR,256917635,XNYS,New York Stock Exchange Inc
AON,62213224882,XNYS,New York Stock Exchange Inc
AONC,55390574,XNAS,Nasdaq All Markets
AONCW,55390574,XNAS,Nasdaq All Markets
AORT,698640000,XNYS,New York Stock Exchange Inc
AOS,12165515215,XNYS,New York Stock Exchange Inc
AOSL,648141226,XNAS,Nasdaq All Markets
AOTG,33255000,XNAS,Nasdaq All Markets
