symbol,marketcap,exchange,exchangeName,marketcapType
AME,38601075383.0,XNYS,New York Stock Exchange Inc,Large-Cap
AMED,3061007949.0,XNAS,Nasdaq All Markets,Mid-Cap
AMEH,2166109585.0,XNAS,Nasdaq All Markets,Mid-Cap
AMG,5241183796.0,XNYS,New York Stock Exchange Inc,Mid-Cap
AMGN,155437106162.0,XNAS,Nasdaq All Markets,Large-Cap
AMH,12360593002.0,XNYS,New York Stock Exchange Inc,Large-Cap
AMH-G,12318095290.0,XNYS,New York Stock Exchange Inc,Large-Cap
AMH-H,12534075015.0,XNYS,New York Stock Exchange Inc,Large-Cap
AMID,47745000.0,XNAS,Nasdaq All Markets,Micro-Cap
AMIX,79924012.0,XNAS,Nasdaq All Markets,Micro-Cap
AMK,2347527966.0,XNYS,New York Stock Exchange Inc,Mid-Cap
AMKR,7460030000.0,XNAS,Nasdaq All Markets,Mid-Cap
AMLI,156698744.0,XNAS,Nasdaq All Markets,Micro-Cap
AMLX,1027282612.0,XNAS,Nasdaq All Markets,Small-Cap
